TAREAS,FECHA INICIO,FECHA DE FINAL,PRIORIDAD,ESTADO
CR 60319 - Cambio abrazadera intercooler motor Bus GNC,13/09/2024,15/11/2024,BAJA,FINALIZADO
CR 60481 - Front cross beam E5-E6,01/08/2024,27/12/2024,BAJA,FINALIZADO
DMUs,23/09/2024,31/12/2024,BAJA,FINALIZADO
CR 60468 - Cambio tornillo ballesta 9/11Ton,01/08/2024,01/07/2025,BAJA,FINALIZADO
CR 60566 - Actualización diseño PN 5803077760,01/08/2024,01/12/2024,BAJA,FINALIZADO
CR 60703 - SUNCHO HEAVY,18/09/2024,30/12/2024,BAJA,FINALIZADO
CR 60599,30/08/2024,30/11/2024,BAJA,FINALIZADO
HEAVY - NEW GENERATION,01/10/2024,01/02/2027,BAJA,FINALIZADO
CR 60600 - Performance Problems - Air Suspension,02/09/2024,04/07/2025,BAJA,FINALIZADO
CR 60698 - Cambio Aceite caja Allison,01/09/2024,01/09/2025,BAJA,FINALIZADO
CR 60732 - Actualización esquema rueda auxilio Bus GNC,01/10/2024,01/05/2025,BAJA,FINALIZADO
CR 60645 - Cambio de travesaño EBS PCO 436,06/11/2024,27/12/2024,BAJA,FINALIZADO
61066 - APU,21/11/2024,31/01/2025,BAJA,FINALIZADO
CR 60748 - Agujeros chasis BUS ITALBUS,01/10/2024,01/10/2025,BAJA,FINALIZADO
CR 60593 - Manual implementador Heavy,04/06/2024,30/04/2025,BAJA,FINALIZADO
BUS GNC ALLISON,15/11/2024,15/11/2025,BAJA,FINALIZADO
CR 60649,01/11/2024,02/03/2025,BAJA,FINALIZADO
60592 - Tuberia compresor cursor,29/11/2024,31/01/2025,BAJA,FINALIZADO
61046 - Invertir valv. Triler,03/12/2024,03/02/2025,BAJA,FINALIZADO
CR 60544,01/12/2024,01/02/2025,BAJA,FINALIZADO
CR 60913 - Estiramiento grampas 9 Ton,01/12/2024,01/07/2025,BAJA,FINALIZADO
CR 55096 - CAMBIO MATERIAL BARRERO DELANTERO,02/01/2023,02/03/2025,BAJA,FINALIZADO
CR 60783 - Falla central MET por sobreconsumo,07/10/2024,01/05/2025,BAJA,FINALIZADO
CR 61299 - Falla TLM,07/01/2025,01/04/2025,BAJA,PROCESO
CR 61294 - Quema corrugado tector GNC y bus GNC,07/01/2025,03/03/2025,BAJA,PROCESO
61300 - soporte tanque de freno 6x2 susp. neum.,09/01/2025,09/07/2025,BAJA,PROCESO
CR 61310 - Sensor Nox,13/01/2025,21/07/2025,BAJA,PROCESO
CR 61455 - ARG357 Ligths stay on or off constantly Tector,06/02/2025,04/04/2025,BAJA,PROCESO
61299  - Turn signal lights turn on involuntarily (Balizas TLM),17/02/2025,27/09/2025,BAJA,PROCESO
